wordType,category,subcategory,set,english,french,article,imageUrl,audioUrl
Nouns,Kitchen,Bakeware,2,pastry brush,pinceau de cuisine,le,,
Nouns,Kitchen,Bakeware,2,rolling mat,tapis à pâtisserie,le,,
Nouns,Kitchen,Bakeware,2,dough scraper,grattoir à pâte,le,,
Nouns,Kitchen,Bakeware,2,measuring jug,bec doseur,le,,
Nouns,Kitchen,Bakeware,2,pastry bag,poche à douille,la,,
Nouns,Kitchen,Bakeware,2,sifter,tamis,le,,
Nouns,Kitchen,Bakeware,3,pastry wheel,roulette à pâtisserie,la,,
Nouns,Kitchen,Bakeware,3,bread pan,moule à pain,le,,
Nouns,Kitchen,Bakeware,3,dough hook,crochet pétrisseur,le,,
Nouns,Kitchen,Bakeware,3,stand mixer,robot pâtissier,le,,
Nouns,Kitchen,Bakeware,3,bench scraper,corne de pâtisserie,la,,
Nouns,Kitchen,Bakeware,3,baking ring,cercle de pâtisserie,le,,
Nouns,Kitchen,Bakeware,3,sheet pan rack,étagère à plaques,la,,
Nouns,Kitchen,Bakeware,3,spring tongs,pince à ressort,la,,
Nouns,Kitchen,Bakeware,3,tart ring,cercle à tarte,le,,
Nouns,Kitchen,Bakeware,3,cake stand,présentoir à gâteau,le,,


